case_id,split,rubric,arm,claim,disagreements,expected_support,actual_support_probability,expected_durable,actual_durable_probability,expected_assertion,actual_assertion,packet_sha256
case-01-1,development,memory-assess-v1,compact,Aster production backups use customer-managed encryption keys.,supported,True,0.06,True,0.85,established,established,e742bacdcea10c47ed4c797964b4bc31edb220a55bb39094fd587f3f6a6fe202
case-01-4,development,memory-assess-v1,compact,Aster requires quarterly restore drills.,assertion,True,0.57,True,0.84,established,planned,70f67a965838cdae509f7c7cd0b383a69c0cdee6981035500785c7a9434a6fdd
case-02-1,development,memory-assess-v1,compact,The Birch vendor reports that snapshots are encrypted.,supported;assertion,True,0.08,True,0.71,established,unclear,ed482640a1b5ed88fe30ec3e3272aa51ca375b97aa997a827299538da166f6b3
case-03-1,development,memory-assess-v1,compact,Cedar currently expires administrator sessions after twelve hours.,supported;assertion,True,0.02,True,0.74,established,unclear,4ed5bb0e4324c6c41aff66ea659204028c45841a3bcd03cf74833a4d72582d08
case-03-2,development,memory-assess-v1,compact,Cedar currently expires sessions after two hours.,assertion,False,0.04,True,0.64,denied,planned,6ff9200d0c2b3d3bf3d3e952b5053f0e20c49a452aacb0b6381aa6f45fda3d16
case-03-4,development,memory-assess-v1,compact,Cedar might offer a warning banner if support volume rises.,retention_durability,True,0.92,True,0.38,hypothetical,hypothetical,02d35a5ed4e91115610b19cce6429c667445c1986f4f1f1680280b3e172a66ad
case-03-5,development,memory-assess-v1,compact,Cedar decided to deploy a warning banner.,assertion,False,0.01,True,0.64,denied,hypothetical,d4f2d750155e41fd45daf0a2a102441087b12dfb892874801c7515ec56957b15
case-04-1,development,memory-assess-v1,compact,Dahlia export is enabled for the European tenant.,supported;assertion,True,0.03,True,0.64,established,unclear,58f814d4300e81f59b4d7370b877781a99fee32d10fd5ea42947dd8e0c51cfde
case-05-1,development,memory-assess-v1,compact,Elm search indexing is currently enabled.,supported,True,0.07,True,0.51,established,established,2b51a4b343ec5a76b00097d5f67837d28d26d08d06d27368c4985cd696bf2566
case-05-2,development,memory-assess-v1,compact,Elm search indexing is currently disabled.,retention_durability;assertion,False,0.11,True,0.47,denied,established,feb7031dde99510c7e30b6ab9a4668659f988ecfa3dcb7f2d8b76d5bbedf83a0
case-05-3,development,memory-assess-v1,compact,Elm completed the migration.,supported;assertion,True,0.04,True,0.65,established,unclear,9d60ebd6a5904f2b02f6ae0453dfa9d8fec63ca87bc34710cc32ad54246c3705
case-05-4,development,memory-assess-v1,compact,Elm requires index writes outside checkout transactions.,supported;assertion,True,0.22,True,0.85,established,planned,966547ada8ce02138dcd4790f29de282a7633942009d86ef80a6ddf32398b996
case-06-1,development,memory-assess-v1,compact,Fern normally retains logs for thirty days.,supported,True,0.02,True,0.8,established,established,a53c0a792d883b06a5ba30eda4671aec33fbbbe02f8315598b7f753c47a0f421
case-06-2,development,memory-assess-v1,compact,Fern legal holds override normal log expiry.,supported,True,0.41,True,0.87,established,established,7041156f638d0b6fef7cf2c6f7648231a6c322d63a42eeab4b5db382120c0834
case-06-3,development,memory-assess-v1,compact,Fern has approved seven-day debug-log retention.,assertion,False,0.02,True,0.71,denied,planned,6563931fe4af433f6886dcba4201c5d00b948d865c38867920c9789fc1c16e0a
case-06-4,development,memory-assess-v1,compact,An engineer proposed seven-day debug-log retention for Fern.,assertion,True,0.96,True,0.58,planned,established,d0751a522a0b203533f966c1ca1d011fa5b046ebdbd715725cd25c9820ee98af
case-07-1,development,memory-assess-v1,compact,Ginkgo release artifacts require offline-key signatures.,supported;assertion,True,0.03,True,0.87,established,unclear,c49bb15a42e726bfbdaf676ebb1fe80e41734e6aee5ccf92a7375e7cb63c65c8
case-07-5,development,memory-assess-v1,compact,Ginkgo allows publication without second-maintainer signature verification.,assertion,False,0.02,True,0.76,denied,unclear,af5373ff2318b98265b0e4c32ccb5f4bca754b6a7be0b71ed511297f343b5296
case-08-1,development,memory-assess-v1,compact,Hazel routes real incident alerts to the on-call engineer.,supported,True,0.05,True,0.77,established,established,e6dd60bf7ebd87d4cc0f1d7cbc20ade8aa99c14081bbead2cbb15173cc5e3359
case-08-4,development,memory-assess-v1,compact,Hazel requires permanent incident acknowledgement records.,supported;assertion,True,0.24,True,0.77,established,planned,72dfc4a9482d2c1cd3c7a54e67c62956ecb37dec7a9f80bb2e92b32f62128460
case-09-1,development,memory-assess-v1,compact,Iris cache keys include organization ID.,supported;assertion,True,0.03,True,0.77,established,unclear,2bf490cfa592cb8c94c54652f51a5e3aea45a4a797b79be63c1db4ad2e36ac5d
